ensembl_gene_id	mean_plddt
YER145C-A	32.81358620689655
YDR157W	45.54706766917293
YLR236C	45.76093457943925
YAL065C	46.53984375
YAL064W-B	33.3018253968254
YHR021W-A	37.1253642384106
YHR139C-A	40.62640776699029
YLR302C	46.74675
YLR358C	30.9951871657754
YLR255C	46.03290598290598
YAL024C	48.61604181184669
YDR146C	49.24314527503526
YIR019C	40.48318215069495
YFR009W-A	42.40341176470588
YJL197C-A	33.388279569892475
YLR156W	42.05166666666667
YLR159W	42.05166666666667
YLR161W	42.05166666666667
YLR156W	41.361315789473686
YLR159W	41.361315789473686
YLR161W	41.361315789473686
YLR156W	40.62543859649123
YLR159W	40.62543859649123
YLR161W	40.62543859649123
YEL076C-A	41.859027777777776
YLR464W	41.859027777777776
YEL076C-A	44.03949074074074
YLR464W	44.03949074074074
YHR214C-D	43.638247422680415
YAR069C	43.638247422680415
YGR296C-B	40.3251875
YPL283W-B	40.3251875
YPR204C-A	40.3251875
YER190C-B	40.3251875
YGR296C-B	38.5599375
YPL283W-B	38.5599375
YPR204C-A	38.5599375
YER190C-B	38.5599375
YGR296C-B	39.2715
YPL283W-B	39.2715
YPR204C-A	39.2715
YER190C-B	39.2715
YGR296C-B	37.78275
YPL283W-B	37.78275
YPR204C-A	37.78275
YER190C-B	37.78275
YGR296C-B	39.1596875
YPL283W-B	39.1596875
YPR204C-A	39.1596875
YER190C-B	39.1596875
YFL068W	39.9050625
YLL066W-A	39.9050625
YLL067W-A	39.9050625
YFL068W	39.6310625
YLL066W-A	39.6310625
YLL067W-A	39.6310625
YFL068W	37.046625
YLL066W-A	37.046625
YLL067W-A	37.046625
YDR227W	43.95636966126657
YKL109W	44.42693140794224
YDL069C	42.84196506550218
YIL136W	49.3081679389313
YER040W	47.345164383561645
YMR173W	39.619
YOR098C	42.094693308550184
YJR094C	43.328
YLR131C	49.578857142857146
YKL093W	48.38333333333333
YHR014W	45.737938144329895
YCR006C	39.78127388535032
YCL028W	48.66659259259259
YCL042W	44.66873949579832
YCL058C	40.78802631578947
YCR022C	34.330877192982456
YCR050C	44.91950980392157
YCR085W	47.71965811965812
YCR089W	37.87011808576756
YGL035C	49.971607142857145
YHR093W	39.59478021978022
YNL074C	48.85929203539823
YGR014W	42.783101071975494
YLR403W	48.35352855051244
YFL010W-A	49.839574468085104
YMR081C	45.84357988165681
YDR422C	48.15882208588957
YEL035C	43.46024096385542
YKL037W	35.68661016949152
YHR149C	49.904468664850135
YER167W	46.332056404230315
YHR157W	34.16384615384615
YHL027W	48.26616
YMR037C	40.276875
YKL062W	40.95971428571429
YKL101W	46.660368906455865
YKL097C	40.65661764705882
YOL082W	48.733807228915666
YKR015C	46.1931161971831
YKR032W	46.96721153846154
YKR073C	46.4038679245283
YKR077W	44.89421487603306
YCR041W	42.858909090909094
YBR066C	48.83468181818182
YBR063C	28.750544554455445
YBL081W	44.43002717391305
YBL044W	45.19581967213115
YBR013C	38.34255813953489
YBR027C	48.286818181818184
YBR032W	33.4773
YBR045C	46.626338028169016
YBR050C	32.77230769230769
YBR148W	44.648374384236455
YBR184W	28.21084130019121
YHL037C	37.19406015037594
YHL005C	39.439692307692304
YHR054C	43.84166666666667
YHR125W	47.19356435643565
YHR143W	43.16926153846154
YHR180W	31.652638036809815
YDR207C	49.056088516746414
YAR068W	41.89596273291925
YER028C	46.839365482233504
YER130C	37.86483069977427
YEL076C	40.19078703703704
YEL068C	49.91209090909091
YEL067C	40.60779487179487
YEL057C	33.723390557939915
YEL025C	49.51701178451179
YEL014C	29.833564356435645
YEL008W	34.91460317460317
YER033C	46.71957249070632
YER076C	46.12665562913907
YER085C	41.741791907514454
YER121W	49.71280701754386
YER135C	38.69123076923077
YER188W	40.853221757322174
YNL208W	46.36110552763819
YNL196C	46.74496644295302
YNL195C	43.17130268199234
YPL073C	36.19664596273291
YGR269W	33.01481481481481
YIL152W	44.60553191489362
YIL092W	42.5949131121643
YIL086C	39.36078431372549
YIL060W	44.20930555555555
YIL059C	43.9501652892562
YOR113W	42.67283369803064
YLR353W	45.85379767827529
YDR420W	41.98340732519423
YNL327W	47.65101825168107
YFL019C	35.79128205128205
YFL012W	32.91959459459459
YFR016C	42.63444444444445
YFR020W	48.00521551724138
YFR026C	32.644852071005914
YFR035C	37.27850877192982
YFR054C	31.779010416666665
YGL170C	45.6953995157385
YGL168W	47.43090909090909
YGR196C	48.78048959608323
YJL185C	43.42808873720136
YJL118W	37.79333333333334
YJL078C	44.48400681044268
YJL077C	42.04389312977099
YJL076W	48.20086627417999
YJL056C	42.679795454545456
YJL051W	45.51004866180049
YJL027C	34.89826086956522
YJR079W	47.16623853211009
YJR108W	46.820650406504065
YJR128W	33.371764705882356
YJR146W	38.02153846153846
YJR151C	38.38030146425496
YGR153W	42.94718894009217
YPL085W	44.364915717539866
YDR192C	49.81404651162791
YMR273C	49.669726775956285
YGL209W	48.92534031413613
YGL262W	35.52022857142857
YGL260W	36.30052631578947
YGL259W	45.95642424242424
YGL193C	31.041747572815535
YGL118C	34.87089655172414
YGL007W	46.50128
YGR018C	40.45275229357798
YGR041W	44.77720292504571
YGR045C	47.20616666666667
YGR050C	46.02906779661017
YGR067C	42.93608208955224
YGR164W	45.23747747747747
YMR016C	48.44619108280255
YNL269W	40.360229007633585
YNL184C	48.83583333333333
YNL164C	49.66034188034188
YNL140C	38.22275132275132
YNL054W	47.97220600858369
YNL034W	34.477107843137254
YNL027W	43.348997050147496
YNL018C	32.605702614379084
YML109W	49.39308917197452
YER014C-A	37.58156862745098
YDR274C	33.59211382113821
YDR028C	49.52595660749507
YPR005C	47.104557823129255
YKR005C	46.01708571428571
YKL068W	49.16518248175183
YMR047C	49.30505840071878
YPL027W	38.573632653061225
YPL062W	36.8820895522388
YPL056C	37.175940594059405
YPL080C	36.61925925925926
YPL130W	40.92887892376682
YDR042C	42.8664
YML122C	43.1965873015873
YML119W	48.06711484593838
YDR209C	29.52956204379562
YMR219W	35.51284680337756
YMR007W	46.89515873015873
YMR206W	49.78808306709265
YDR239C	48.965120711562896
YMR122C	37.96677419354839
YMR082C	44.02754237288136
YMR086W	48.47578125
YDR534C	33.79246212121212
YML083C	35.48822966507177
YDR114C	45.1607
YMR317W	36.73719298245614
YDR223W	42.54676659528908
YML053C	40.59056603773585
YDR344C	38.92578231292517
YDR278C	49.517809523809525
YLR194C	36.34673228346457
YLR312C	40.76690954773869
YPR195C	44.43229357798165
YPR078C	36.9597311827957
YLR006C	48.63592696629213
YDL223C	34.082141491395795
YDL241W	48.17373983739837
YLL030C	49.77061946902655
YLR030W	44.4041825095057
YLR042C	44.37316770186335
YOL014W	45.02588709677419
YOL015W	44.51689419795222
YOL036W	46.36842312746386
YOL159C	37.01198830409357
YOL160W	38.146637168141595
YOR068C	37.485
YOR247W	42.031285714285715
YOR376W	46.588852459016394
YOR382W	45.089803921568624
YOR383C	45.91813725490197
YPL223C	46.38916666666667
YPL261C	46.61382352941177
YPR203W	44.37705882352941
YLR082C	46.598214285714285
YLR112W	36.482158273381295
YPL230W	49.546521739130434
YOR284W	47.38213991769547
YPR013C	43.55419558359621
YDL009C	49.94523364485981
YOR009W	43.05597535934291
YDR215C	37.27496350364964
YOR029W	33.06954954954955
YPL163C	31.30246153846154
YOR214C	39.96673728813559
YLR122C	35.02552
YLR094C	49.58177290836653
YDR010C	44.72272727272728
YDL039C	29.402421203438394
YOR343C	32.59185185185185
YPR064W	44.571510791366904
YPR008W	49.93935158501441
YPL119C-A	47.91137931034483
YMR030W-A	37.7953125
YOL159C-A	48.79588888888889
YAL063C-A	45.89572916666667
YMR230W-A	42.663225806451614
YOL097W-A	47.27
YNL146C-A	49.03140625
YNL042W-B	37.74764705882353
YCR024C-B	41.05568181818182
YCR108C	49.731746031746034
YPR014C	43.44385321100918
YPR053C	42.74894039735099
YBL113C	46.07698232323232
YHR214C-E	41.807272727272725
YAL067W-A	43.974
YGR031C-A	33.02079754601227
YMR105W-A	48.9565625
YFR032C-B	41.39896551724138
YER175W-A	46.5162962962963
YOL085C	32.51778761061947
